"Notes"	"Month"	"Month Code"	"Cause of death"	"Cause of death Code"	Deaths
	"Jan., 2012"	"2012/01"	"Enterocolitis due to Clostridium difficile"	"A04.7"	86
	"Jan., 2012"	"2012/01"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	15
	"Jan., 2012"	"2012/01"	"Septicaemia, unspecified"	"A41.9"	113
	"Jan., 2012"	"2012/01"	"Chronic viral hepatitis C"	"B18.2"	120
	"Jan., 2012"	"2012/01"	"HIV disease resulting in multiple infections"	"B20.7"	15
	"Jan., 2012"	"2012/01"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	31
	"Jan., 2012"	"2012/01"	"Mouth, unspecified - Malignant neoplasms"	"C06.9"	12
	"Jan., 2012"	"2012/01"	"Nasopharynx, unspecified - Malignant neoplasms"	"C11.9"	12
	"Jan., 2012"	"2012/01"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	16
	"Jan., 2012"	"2012/01"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	120
	"Jan., 2012"	"2012/01"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	135
	"Jan., 2012"	"2012/01"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	347
	"Jan., 2012"	"2012/01"	"Malignant neoplasm of rectosigmoid junction"	"C19"	23
	"Jan., 2012"	"2012/01"	"Malignant neoplasm of rectum"	"C20"	85
	"Jan., 2012"	"2012/01"	"Anus, unspecified - Malignant neoplasms"	"C21.0"	11
	"Jan., 2012"	"2012/01"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	126
	"Jan., 2012"	"2012/01"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	42
	"Jan., 2012"	"2012/01"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	92
	"Jan., 2012"	"2012/01"	"Malignant neoplasm of gallbladder"	"C23"	27
	"Jan., 2012"	"2012/01"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	345
	"Jan., 2012"	"2012/01"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	29
	"Jan., 2012"	"2012/01"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	1078
	"Jan., 2012"	"2012/01"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	59
	"Jan., 2012"	"2012/01"	"Skin of scalp and neck - Malignant neoplasms"	"C44.4"	13
