"Notes"	"Month"	"Month Code"	"Cause of death"	"Cause of death Code"	Deaths
	"Jan., 1999"	"1999/01"	"Enterocolitis due to Clostridium difficile"	"A04.7"	14
	"Jan., 1999"	"1999/01"	"Septicaemia, unspecified"	"A41.9"	49
	"Jan., 1999"	"1999/01"	"Bacterial infection, unspecified"	"A49.9"	17
	"Jan., 1999"	"1999/01"	"Acute hepatitis B without delta-agent and without hepatic coma"	"B16.9"	12
	"Jan., 1999"	"1999/01"	"Acute hepatitis C"	"B17.1"	62
	"Jan., 1999"	"1999/01"	"HIV disease resulting in other bacterial infections"	"B20.1"	10
	"Jan., 1999"	"1999/01"	"HIV disease resulting in Pneumocystis carinii pneumonia"	"B20.6"	10
	"Jan., 1999"	"1999/01"	"HIV disease resulting in multiple infections"	"B20.7"	13
	"Jan., 1999"	"1999/01"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	16
	"Jan., 1999"	"1999/01"	"HIV disease resulting in other specified conditions"	"B23.8"	30
	"Jan., 1999"	"1999/01"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	19
	"Jan., 1999"	"1999/01"	"Sequelae of other specified infectious and parasitic diseases"	"B94.8"	12
	"Jan., 1999"	"1999/01"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	17
	"Jan., 1999"	"1999/01"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	15
	"Jan., 1999"	"1999/01"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	112
	"Jan., 1999"	"1999/01"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	134
	"Jan., 1999"	"1999/01"	"Ascending colon - Malignant neoplasms"	"C18.2"	35
	"Jan., 1999"	"1999/01"	"Sigmoid colon - Malignant neoplasms"	"C18.7"	15
	"Jan., 1999"	"1999/01"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	339
	"Jan., 1999"	"1999/01"	"Malignant neoplasm of rectosigmoid junction"	"C19"	12
	"Jan., 1999"	"1999/01"	"Malignant neoplasm of rectum"	"C20"	65
	"Jan., 1999"	"1999/01"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	60
