"Notes"	"Month"	"Month Code"	"Cause of death"	"Cause of death Code"	Deaths
	"Jan., 2017"	"2017/01"	"Enterocolitis due to Clostridium difficile"	"A04.7"	33
	"Jan., 2017"	"2017/01"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	11
	"Jan., 2017"	"2017/01"	"Septicaemia, unspecified"	"A41.9"	212
	"Jan., 2017"	"2017/01"	"Chronic viral hepatitis C"	"B18.2"	30
	"Jan., 2017"	"2017/01"	"HIV disease resulting in other bacterial infections"	"B20.1"	12
	"Jan., 2017"	"2017/01"	"HIV disease resulting in other specified conditions"	"B23.8"	20
	"Jan., 2017"	"2017/01"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	10
	"Jan., 2017"	"2017/01"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	17
	"Jan., 2017"	"2017/01"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	14
	"Jan., 2017"	"2017/01"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	89
	"Jan., 2017"	"2017/01"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	75
	"Jan., 2017"	"2017/01"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	286
	"Jan., 2017"	"2017/01"	"Malignant neoplasm of rectosigmoid junction"	"C19"	23
	"Jan., 2017"	"2017/01"	"Malignant neoplasm of rectum"	"C20"	45
	"Jan., 2017"	"2017/01"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	63
	"Jan., 2017"	"2017/01"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	35
	"Jan., 2017"	"2017/01"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	64
	"Jan., 2017"	"2017/01"	"Malignant neoplasm of gallbladder"	"C23"	13
	"Jan., 2017"	"2017/01"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	292
	"Jan., 2017"	"2017/01"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	35
	"Jan., 2017"	"2017/01"	"Upper lobe, bronchus or lung - Malignant neoplasms"	"C34.1"	10
	"Jan., 2017"	"2017/01"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	961
	"Jan., 2017"	"2017/01"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	54
	"Jan., 2017"	"2017/01"	"Skin of scalp and neck - Malignant neoplasms"	"C44.4"	12
