"Notes"	"Month"	"Month Code"	"Cause of death"	"Cause of death Code"	Deaths
	"Jan., 1999"	"1999/01"	"Septicaemia, unspecified"	"A41.9"	124
	"Jan., 1999"	"1999/01"	"Acute hepatitis C"	"B17.1"	23
	"Jan., 1999"	"1999/01"	"Chronic viral hepatitis C"	"B18.2"	10
	"Jan., 1999"	"1999/01"	"HIV disease resulting in multiple infections"	"B20.7"	17
	"Jan., 1999"	"1999/01"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	18
	"Jan., 1999"	"1999/01"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	12
	"Jan., 1999"	"1999/01"	"HIV disease resulting in other specified conditions"	"B23.8"	32
	"Jan., 1999"	"1999/01"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	28
	"Jan., 1999"	"1999/01"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	16
	"Jan., 1999"	"1999/01"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	20
	"Jan., 1999"	"1999/01"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	76
	"Jan., 1999"	"1999/01"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	82
	"Jan., 1999"	"1999/01"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	285
	"Jan., 1999"	"1999/01"	"Malignant neoplasm of rectum"	"C20"	42
	"Jan., 1999"	"1999/01"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	24
	"Jan., 1999"	"1999/01"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	11
	"Jan., 1999"	"1999/01"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	25
	"Jan., 1999"	"1999/01"	"Malignant neoplasm of gallbladder"	"C23"	10
	"Jan., 1999"	"1999/01"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	156
	"Jan., 1999"	"1999/01"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	25
	"Jan., 1999"	"1999/01"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	1013
	"Jan., 1999"	"1999/01"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	19
	"Jan., 1999"	"1999/01"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	242
	"Jan., 1999"	"1999/01"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	23
	"Jan., 1999"	"1999/01"	"Endometrium - Malignant neoplasms"	"C54.1"	11
	"Jan., 1999"	"1999/01"	"Malignant neoplasm of uterus, part unspecified"	"C55"	18
	"Jan., 1999"	"1999/01"	"Malignant neoplasm of ovary"	"C56"	93
	"Jan., 1999"	"1999/01"	"Malignant neoplasm of prostate"	"C61"	203
	"Jan., 1999"	"1999/01"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	64
	"Jan., 1999"	"1999/01"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	87
	"Jan., 1999"	"1999/01"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	67
	"Jan., 1999"	"1999/01"	"Head, face and neck - Malignant neoplasms"	"C76.0"	20
	"Jan., 1999"	"1999/01"	"Malignant neoplasm without specification of site"	"C80"	152
	"Jan., 1999"	"1999/01"	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	15
	"Jan., 1999"	"1999/01"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	110
	"Jan., 1999"	"1999/01"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	74
	"Jan., 1999"	"1999/01"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	35
	"Jan., 1999"	"1999/01"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	36
	"Jan., 1999"	"1999/01"	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	13
	"Jan., 1999"	"1999/01"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	14
	"Jan., 1999"	"1999/01"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	35
	"Jan., 1999"	"1999/01"	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	11
	"Jan., 1999"	"1999/01"	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	27
	"Jan., 1999"	"1999/01"	"Chronic myeloproliferative disease - Uncertain neoplasms"	"D47.1"	12
	"Jan., 1999"	"1999/01"	"Hypothyroidism, unspecified"	"E03.9"	12
	"Jan., 1999"	"1999/01"	"Insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E10.5"	14
	"Jan., 1999"	"1999/01"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	63
	"Jan., 1999"	"1999/01"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	52
	"Jan., 1999"	"1999/01"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	11
	"Jan., 1999"	"1999/01"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	33
	"Jan., 1999"	"1999/01"	"Unspecified diabetes mellitus, without complications"	"E14.9"	224
	"Jan., 1999"	"1999/01"	"Unspecified protein-energy malnutrition"	"E46"	17
	"Jan., 1999"	"1999/01"	"Pure hypercholesterolaemia"	"E78.0"	11
	"Jan., 1999"	"1999/01"	"Hyperlipidaemia, unspecified"	"E78.5"	17
	"Jan., 1999"	"1999/01"	"Volume depletion"	"E86"	25
	"Jan., 1999"	"1999/01"	"Unspecified dementia"	"F03"	218
	"Jan., 1999"	"1999/01"	"Unspecified mental disorder due to brain damage and dysfunction and to physical disease"	"F06.9"	27
	"Jan., 1999"	"1999/01"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	27
	"Jan., 1999"	"1999/01"	"Motor neuron disease"	"G12.2"	42
	"Jan., 1999"	"1999/01"	"Parkinson disease"	"G20"	78
	"Jan., 1999"	"1999/01"	"Alzheimer disease with late onset"	"G30.1"	13
	"Jan., 1999"	"1999/01"	"Alzheimer disease, unspecified"	"G30.9"	257
	"Jan., 1999"	"1999/01"	"Multiple sclerosis"	"G35"	17
	"Jan., 1999"	"1999/01"	"Anoxic brain damage, not elsewhere classified"	"G93.1"	21
	"Jan., 1999"	"1999/01"	"Essential (primary) hypertension"	"I10"	46
	"Jan., 1999"	"1999/01"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	61
	"Jan., 1999"	"1999/01"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	123
	"Jan., 1999"	"1999/01"	"Hypertensive renal disease with renal failure"	"I12.0"	58
	"Jan., 1999"	"1999/01"	"Hypertensive heart and renal disease with both (congestive) heart failure and renal failure"	"I13.2"	12
	"Jan., 1999"	"1999/01"	"Acute myocardial infarction, unspecified"	"I21.9"	1245
	"Jan., 1999"	"1999/01"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	506
	"Jan., 1999"	"1999/01"	"Atherosclerotic heart disease"	"I25.1"	1893
	"Jan., 1999"	"1999/01"	"Ischaemic cardiomyopathy"	"I25.5"	125
	"Jan., 1999"	"1999/01"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	98
	"Jan., 1999"	"1999/01"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	31
	"Jan., 1999"	"1999/01"	"Primary pulmonary hypertension"	"I27.0"	18
	"Jan., 1999"	"1999/01"	"Pulmonary heart disease, unspecified"	"I27.9"	13
	"Jan., 1999"	"1999/01"	"Mitral (valve) insufficiency"	"I34.0"	12
	"Jan., 1999"	"1999/01"	"Aortic (valve) stenosis"	"I35.0"	85
	"Jan., 1999"	"1999/01"	"Aortic valve disorder, unspecified"	"I35.9"	10
	"Jan., 1999"	"1999/01"	"Endocarditis, valve unspecified"	"I38"	40
	"Jan., 1999"	"1999/01"	"Dilated cardiomyopathy"	"I42.0"	43
	"Jan., 1999"	"1999/01"	"Cardiomyopathy, unspecified"	"I42.9"	170
	"Jan., 1999"	"1999/01"	"Cardiac arrest, unspecified"	"I46.9"	78
	"Jan., 1999"	"1999/01"	"Atrial fibrillation and flutter"	"I48"	40
	"Jan., 1999"	"1999/01"	"Cardiac arrhythmia, unspecified"	"I49.9"	16
	"Jan., 1999"	"1999/01"	"Congestive heart failure"	"I50.0"	117
	"Jan., 1999"	"1999/01"	"Cardiovascular disease, unspecified"	"I51.6"	16
	"Jan., 1999"	"1999/01"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	31
