"Notes"	"Month"	"Month Code"	"Cause of death"	"Cause of death Code"	Deaths
	"Jan., 2012"	"2012/01"	"Enterocolitis due to Clostridium difficile"	"A04.7"	45
	"Jan., 2012"	"2012/01"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	23
	"Jan., 2012"	"2012/01"	"Septicaemia, unspecified"	"A41.9"	203
	"Jan., 2012"	"2012/01"	"Chronic viral hepatitis C"	"B18.2"	50
	"Jan., 2012"	"2012/01"	"HIV disease resulting in other specified conditions"	"B23.8"	10
	"Jan., 2012"	"2012/01"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	18
	"Jan., 2012"	"2012/01"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	10
	"Jan., 2012"	"2012/01"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	67
	"Jan., 2012"	"2012/01"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	72
	"Jan., 2012"	"2012/01"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	227
	"Jan., 2012"	"2012/01"	"Malignant neoplasm of rectosigmoid junction"	"C19"	22
	"Jan., 2012"	"2012/01"	"Malignant neoplasm of rectum"	"C20"	21
	"Jan., 2012"	"2012/01"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	44
	"Jan., 2012"	"2012/01"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	28
	"Jan., 2012"	"2012/01"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	62
	"Jan., 2012"	"2012/01"	"Malignant neoplasm of gallbladder"	"C23"	21
	"Jan., 2012"	"2012/01"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	239
	"Jan., 2012"	"2012/01"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	17
	"Jan., 2012"	"2012/01"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	834
	"Jan., 2012"	"2012/01"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	40
	"Jan., 2012"	"2012/01"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	13
	"Jan., 2012"	"2012/01"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	24
	"Jan., 2012"	"2012/01"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	209
	"Jan., 2012"	"2012/01"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	23
	"Jan., 2012"	"2012/01"	"Endometrium - Malignant neoplasms"	"C54.1"	26
	"Jan., 2012"	"2012/01"	"Malignant neoplasm of uterus, part unspecified"	"C55"	34
	"Jan., 2012"	"2012/01"	"Malignant neoplasm of ovary"	"C56"	72
	"Jan., 2012"	"2012/01"	"Malignant neoplasm of prostate"	"C61"	125
	"Jan., 2012"	"2012/01"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	54
	"Jan., 2012"	"2012/01"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	90
	"Jan., 2012"	"2012/01"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	85
	"Jan., 2012"	"2012/01"	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	12
	"Jan., 2012"	"2012/01"	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	19
	"Jan., 2012"	"2012/01"	"Malignant neoplasm without specification of site"	"C80"	145
	"Jan., 2012"	"2012/01"	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	13
	"Jan., 2012"	"2012/01"	"B-cell lymphoma, unspecified - Malignant neoplasms"	"C85.1"	12
	"Jan., 2012"	"2012/01"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	54
	"Jan., 2012"	"2012/01"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	58
	"Jan., 2012"	"2012/01"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	23
	"Jan., 2012"	"2012/01"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	50
	"Jan., 2012"	"2012/01"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	10
	"Jan., 2012"	"2012/01"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	18
