"Notes"	"Month"	"Month Code"	"Cause of death"	"Cause of death Code"	Deaths
	"Jan., 1999"	"1999/01"	"Septicaemia due to Staphylococcus aureus"	"A41.0"	10
	"Jan., 1999"	"1999/01"	"Septicaemia, unspecified"	"A41.9"	217
	"Jan., 1999"	"1999/01"	"Acute hepatitis C"	"B17.1"	23
	"Jan., 1999"	"1999/01"	"HIV disease resulting in other bacterial infections"	"B20.1"	26
	"Jan., 1999"	"1999/01"	"HIV disease resulting in multiple infections"	"B20.7"	15
	"Jan., 1999"	"1999/01"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	26
	"Jan., 1999"	"1999/01"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	11
	"Jan., 1999"	"1999/01"	"HIV disease resulting in other specified conditions"	"B23.8"	84
	"Jan., 1999"	"1999/01"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	34
	"Jan., 1999"	"1999/01"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	10
	"Jan., 1999"	"1999/01"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	76
	"Jan., 1999"	"1999/01"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	100
	"Jan., 1999"	"1999/01"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	329
	"Jan., 1999"	"1999/01"	"Malignant neoplasm of rectosigmoid junction"	"C19"	10
	"Jan., 1999"	"1999/01"	"Malignant neoplasm of rectum"	"C20"	36
	"Jan., 1999"	"1999/01"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	26
	"Jan., 1999"	"1999/01"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	16
	"Jan., 1999"	"1999/01"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	38
	"Jan., 1999"	"1999/01"	"Malignant neoplasm of gallbladder"	"C23"	15
	"Jan., 1999"	"1999/01"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	211
	"Jan., 1999"	"1999/01"	"Intestinal tract, part unspecified - Malignant neoplasms"	"C26.0"	10
	"Jan., 1999"	"1999/01"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	21
	"Jan., 1999"	"1999/01"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	841
	"Jan., 1999"	"1999/01"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	26
	"Jan., 1999"	"1999/01"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	11
	"Jan., 1999"	"1999/01"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	11
	"Jan., 1999"	"1999/01"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	268
	"Jan., 1999"	"1999/01"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	27
	"Jan., 1999"	"1999/01"	"Endometrium - Malignant neoplasms"	"C54.1"	29
	"Jan., 1999"	"1999/01"	"Malignant neoplasm of uterus, part unspecified"	"C55"	23
	"Jan., 1999"	"1999/01"	"Malignant neoplasm of ovary"	"C56"	99
	"Jan., 1999"	"1999/01"	"Malignant neoplasm of prostate"	"C61"	183
	"Jan., 1999"	"1999/01"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	58
	"Jan., 1999"	"1999/01"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	92
	"Jan., 1999"	"1999/01"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	51
	"Jan., 1999"	"1999/01"	"Head, face and neck - Malignant neoplasms"	"C76.0"	15
	"Jan., 1999"	"1999/01"	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	28
	"Jan., 1999"	"1999/01"	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	11
	"Jan., 1999"	"1999/01"	"Malignant neoplasm without specification of site"	"C80"	162
	"Jan., 1999"	"1999/01"	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	13
	"Jan., 1999"	"1999/01"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	108
	"Jan., 1999"	"1999/01"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	56
	"Jan., 1999"	"1999/01"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	28
	"Jan., 1999"	"1999/01"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	39
