"Notes"	"Month"	"Month Code"	"Cause of death"	"Cause of death Code"	Deaths
	"Jan., 2017"	"2017/01"	"Enterocolitis due to Clostridium difficile"	"A04.7"	30
	"Jan., 2017"	"2017/01"	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	14
	"Jan., 2017"	"2017/01"	"Septicaemia, unspecified"	"A41.9"	223
	"Jan., 2017"	"2017/01"	"Chronic viral hepatitis C"	"B18.2"	16
	"Jan., 2017"	"2017/01"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	73
	"Jan., 2017"	"2017/01"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	49
	"Jan., 2017"	"2017/01"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	162
	"Jan., 2017"	"2017/01"	"Malignant neoplasm of rectosigmoid junction"	"C19"	12
	"Jan., 2017"	"2017/01"	"Malignant neoplasm of rectum"	"C20"	34
	"Jan., 2017"	"2017/01"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	51
	"Jan., 2017"	"2017/01"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	31
	"Jan., 2017"	"2017/01"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	27
	"Jan., 2017"	"2017/01"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	163
	"Jan., 2017"	"2017/01"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	14
	"Jan., 2017"	"2017/01"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	613
	"Jan., 2017"	"2017/01"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	33
	"Jan., 2017"	"2017/01"	"Skin of scalp and neck - Malignant neoplasms"	"C44.4"	10
	"Jan., 2017"	"2017/01"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	10
	"Jan., 2017"	"2017/01"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	20
	"Jan., 2017"	"2017/01"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	173
	"Jan., 2017"	"2017/01"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	17
	"Jan., 2017"	"2017/01"	"Endometrium - Malignant neoplasms"	"C54.1"	28
	"Jan., 2017"	"2017/01"	"Malignant neoplasm of uterus, part unspecified"	"C55"	16
	"Jan., 2017"	"2017/01"	"Malignant neoplasm of ovary"	"C56"	48
	"Jan., 2017"	"2017/01"	"Malignant neoplasm of prostate"	"C61"	131
	"Jan., 2017"	"2017/01"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	55
	"Jan., 2017"	"2017/01"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	55
	"Jan., 2017"	"2017/01"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	49
	"Jan., 2017"	"2017/01"	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	20
	"Jan., 2017"	"2017/01"	"Malignant neoplasm without specification of site"	"C80"	144
	"Jan., 2017"	"2017/01"	"Non-Hodgkin lymphoma large cell (diffuse)"	"C83.3"	19
	"Jan., 2017"	"2017/01"	"B-cell lymphoma, unspecified - Malignant neoplasms"	"C85.1"	12
	"Jan., 2017"	"2017/01"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	51
	"Jan., 2017"	"2017/01"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	52
	"Jan., 2017"	"2017/01"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	14
	"Jan., 2017"	"2017/01"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	43
	"Jan., 2017"	"2017/01"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	11
	"Jan., 2017"	"2017/01"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	19
	"Jan., 2017"	"2017/01"	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	35
	"Jan., 2017"	"2017/01"	"Anaemia, unspecified"	"D64.9"	17
	"Jan., 2017"	"2017/01"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	10
	"Jan., 2017"	"2017/01"	"Non-insulin-dependent diabetes mellitus, with renal complications"	"E11.2"	50
	"Jan., 2017"	"2017/01"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	70
	"Jan., 2017"	"2017/01"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	11
	"Jan., 2017"	"2017/01"	"Unspecified diabetes mellitus, with renal complications"	"E14.2"	54
	"Jan., 2017"	"2017/01"	"Unspecified diabetes mellitus, without complications"	"E14.9"	139
	"Jan., 2017"	"2017/01"	"Unspecified protein-energy malnutrition"	"E46"	12
	"Jan., 2017"	"2017/01"	"Other obesity"	"E66.8"	13
	"Jan., 2017"	"2017/01"	"Obesity, unspecified"	"E66.9"	12
	"Jan., 2017"	"2017/01"	"Hyperlipidaemia, unspecified"	"E78.5"	32
	"Jan., 2017"	"2017/01"	"Acidosis"	"E87.2"	14
	"Jan., 2017"	"2017/01"	"Vascular dementia, unspecified"	"F01.9"	58
	"Jan., 2017"	"2017/01"	"Unspecified dementia"	"F03"	763
	"Jan., 2017"	"2017/01"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	12
	"Jan., 2017"	"2017/01"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	10
	"Jan., 2017"	"2017/01"	"Motor neuron disease"	"G12.2"	28
	"Jan., 2017"	"2017/01"	"Parkinson disease"	"G20"	150
	"Jan., 2017"	"2017/01"	"Alzheimer disease with late onset"	"G30.1"	32
	"Jan., 2017"	"2017/01"	"Alzheimer disease, unspecified"	"G30.9"	412
	"Jan., 2017"	"2017/01"	"Senile degeneration of brain, not elsewhere classified"	"G31.1"	31
	"Jan., 2017"	"2017/01"	"Other specified degenerative diseases of nervous system"	"G31.8"	22
	"Jan., 2017"	"2017/01"	"Multiple sclerosis"	"G35"	29
	"Jan., 2017"	"2017/01"	"Anoxic brain damage, not elsewhere classified"	"G93.1"	32
	"Jan., 2017"	"2017/01"	"Encephalopathy, unspecified"	"G93.4"	11
	"Jan., 2017"	"2017/01"	"Essential (primary) hypertension"	"I10"	70
	"Jan., 2017"	"2017/01"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	41
	"Jan., 2017"	"2017/01"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	103
	"Jan., 2017"	"2017/01"	"Hypertensive renal disease with renal failure"	"I12.0"	30
	"Jan., 2017"	"2017/01"	"Acute subendocardial myocardial infarction"	"I21.4"	33
	"Jan., 2017"	"2017/01"	"Acute myocardial infarction, unspecified"	"I21.9"	485
	"Jan., 2017"	"2017/01"	"Other forms of acute ischaemic heart disease"	"I24.8"	12
	"Jan., 2017"	"2017/01"	"Acute ischaemic heart disease, unspecified"	"I24.9"	16
	"Jan., 2017"	"2017/01"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	283
	"Jan., 2017"	"2017/01"	"Atherosclerotic heart disease"	"I25.1"	781
	"Jan., 2017"	"2017/01"	"Ischaemic cardiomyopathy"	"I25.5"	70
	"Jan., 2017"	"2017/01"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	32
	"Jan., 2017"	"2017/01"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	35
	"Jan., 2017"	"2017/01"	"Other secondary pulmonary hypertension"	"I27.2"	32
	"Jan., 2017"	"2017/01"	"Mitral (valve) insufficiency"	"I34.0"	13
	"Jan., 2017"	"2017/01"	"Aortic (valve) stenosis"	"I35.0"	98
	"Jan., 2017"	"2017/01"	"Endocarditis, valve unspecified"	"I38"	36
	"Jan., 2017"	"2017/01"	"Dilated cardiomyopathy"	"I42.0"	13
	"Jan., 2017"	"2017/01"	"Cardiomyopathy, unspecified"	"I42.9"	85
	"Jan., 2017"	"2017/01"	"Sudden cardiac death, so described"	"I46.1"	21
	"Jan., 2017"	"2017/01"	"Cardiac arrest, unspecified"	"I46.9"	82
	"Jan., 2017"	"2017/01"	"Atrial fibrillation and flutter"	"I48"	145
	"Jan., 2017"	"2017/01"	"Cardiac arrhythmia, unspecified"	"I49.9"	39
	"Jan., 2017"	"2017/01"	"Congestive heart failure"	"I50.0"	412
	"Jan., 2017"	"2017/01"	"Heart failure, unspecified"	"I50.9"	78
	"Jan., 2017"	"2017/01"	"Cardiovascular disease, unspecified"	"I51.6"	31
	"Jan., 2017"	"2017/01"	"Heart disease, unspecified"	"I51.9"	29
	"Jan., 2017"	"2017/01"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	11
