"Notes"	"Month"	"Month Code"	"Cause of death"	"Cause of death Code"	Deaths
	"Jan., 1999"	"1999/01"	"Septicaemia, unspecified"	"A41.9"	242
	"Jan., 1999"	"1999/01"	"Acute hepatitis C"	"B17.1"	10
	"Jan., 1999"	"1999/01"	"HIV disease resulting in other specified conditions"	"B23.8"	15
	"Jan., 1999"	"1999/01"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	49
	"Jan., 1999"	"1999/01"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	54
	"Jan., 1999"	"1999/01"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	219
	"Jan., 1999"	"1999/01"	"Malignant neoplasm of rectosigmoid junction"	"C19"	10
	"Jan., 1999"	"1999/01"	"Malignant neoplasm of rectum"	"C20"	31
	"Jan., 1999"	"1999/01"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	22
	"Jan., 1999"	"1999/01"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	14
	"Jan., 1999"	"1999/01"	"Malignant neoplasm of gallbladder"	"C23"	10
	"Jan., 1999"	"1999/01"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	140
	"Jan., 1999"	"1999/01"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	21
	"Jan., 1999"	"1999/01"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	675
	"Jan., 1999"	"1999/01"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	36
	"Jan., 1999"	"1999/01"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	11
	"Jan., 1999"	"1999/01"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	18
	"Jan., 1999"	"1999/01"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	211
	"Jan., 1999"	"1999/01"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	15
	"Jan., 1999"	"1999/01"	"Endometrium - Malignant neoplasms"	"C54.1"	14
	"Jan., 1999"	"1999/01"	"Malignant neoplasm of uterus, part unspecified"	"C55"	11
	"Jan., 1999"	"1999/01"	"Malignant neoplasm of ovary"	"C56"	63
	"Jan., 1999"	"1999/01"	"Malignant neoplasm of prostate"	"C61"	154
	"Jan., 1999"	"1999/01"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	51
	"Jan., 1999"	"1999/01"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	54
	"Jan., 1999"	"1999/01"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	54
	"Jan., 1999"	"1999/01"	"Secondary malignant neoplasm of liver - Malignant neoplasms"	"C78.7"	12
	"Jan., 1999"	"1999/01"	"Malignant neoplasm without specification of site"	"C80"	174
	"Jan., 1999"	"1999/01"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	113
	"Jan., 1999"	"1999/01"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	43
	"Jan., 1999"	"1999/01"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	23
	"Jan., 1999"	"1999/01"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	28
	"Jan., 1999"	"1999/01"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	10
	"Jan., 1999"	"1999/01"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	25
	"Jan., 1999"	"1999/01"	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	12
	"Jan., 1999"	"1999/01"	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	24
	"Jan., 1999"	"1999/01"	"Chronic myeloproliferative disease - Uncertain neoplasms"	"D47.1"	13
	"Jan., 1999"	"1999/01"	"Anaemia, unspecified"	"D64.9"	16
	"Jan., 1999"	"1999/01"	"Coagulation defect, unspecified"	"D68.9"	10
