"Notes"	"Month"	"Month Code"	"Cause of death"	"Cause of death Code"	Deaths
	"Jan., 2006"	"2006/01"	"Enterocolitis due to Clostridium difficile"	"A04.7"	17
	"Jan., 2006"	"2006/01"	"Septicaemia, unspecified"	"A41.9"	251
	"Jan., 2006"	"2006/01"	"Chronic viral hepatitis C"	"B18.2"	60
	"Jan., 2006"	"2006/01"	"HIV disease resulting in other bacterial infections"	"B20.1"	11
	"Jan., 2006"	"2006/01"	"HIV disease resulting in multiple diseases classified elsewhere"	"B22.7"	12
	"Jan., 2006"	"2006/01"	"HIV disease resulting in other specified conditions"	"B23.8"	17
	"Jan., 2006"	"2006/01"	"Unspecified human immunodeficiency virus [HIV] disease"	"B24"	17
	"Jan., 2006"	"2006/01"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	12
	"Jan., 2006"	"2006/01"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	11
	"Jan., 2006"	"2006/01"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	71
	"Jan., 2006"	"2006/01"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	61
	"Jan., 2006"	"2006/01"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	220
	"Jan., 2006"	"2006/01"	"Malignant neoplasm of rectosigmoid junction"	"C19"	17
	"Jan., 2006"	"2006/01"	"Malignant neoplasm of rectum"	"C20"	29
	"Jan., 2006"	"2006/01"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	42
	"Jan., 2006"	"2006/01"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	23
	"Jan., 2006"	"2006/01"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	64
	"Jan., 2006"	"2006/01"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	179
	"Jan., 2006"	"2006/01"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	19
	"Jan., 2006"	"2006/01"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	849
	"Jan., 2006"	"2006/01"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	39
	"Jan., 2006"	"2006/01"	"Mesothelioma, unspecified - Malignant neoplasms"	"C45.9"	11
	"Jan., 2006"	"2006/01"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	18
	"Jan., 2006"	"2006/01"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	239
	"Jan., 2006"	"2006/01"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	25
	"Jan., 2006"	"2006/01"	"Endometrium - Malignant neoplasms"	"C54.1"	12
	"Jan., 2006"	"2006/01"	"Malignant neoplasm of uterus, part unspecified"	"C55"	25
	"Jan., 2006"	"2006/01"	"Malignant neoplasm of ovary"	"C56"	85
	"Jan., 2006"	"2006/01"	"Malignant neoplasm of prostate"	"C61"	152
	"Jan., 2006"	"2006/01"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	78
	"Jan., 2006"	"2006/01"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	64
	"Jan., 2006"	"2006/01"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	60
	"Jan., 2006"	"2006/01"	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	11
	"Jan., 2006"	"2006/01"	"Malignant neoplasm without specification of site"	"C80"	90
	"Jan., 2006"	"2006/01"	"Hodgkin disease, unspecified"	"C81.9"	10
	"Jan., 2006"	"2006/01"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	86
	"Jan., 2006"	"2006/01"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	65
	"Jan., 2006"	"2006/01"	"Acute lymphoblastic leukaemia - Malignant neoplasms"	"C91.0"	10
	"Jan., 2006"	"2006/01"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	22
	"Jan., 2006"	"2006/01"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	47
	"Jan., 2006"	"2006/01"	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	12
	"Jan., 2006"	"2006/01"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	19
	"Jan., 2006"	"2006/01"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	29
	"Jan., 2006"	"2006/01"	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	14
	"Jan., 2006"	"2006/01"	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	19
	"Jan., 2006"	"2006/01"	"Anaemia, unspecified"	"D64.9"	13
	"Jan., 2006"	"2006/01"	"Hypothyroidism, unspecified"	"E03.9"	12
	"Jan., 2006"	"2006/01"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	19
	"Jan., 2006"	"2006/01"	"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E11.5"	17
	"Jan., 2006"	"2006/01"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	109
	"Jan., 2006"	"2006/01"	"Unspecified diabetes mellitus, with ketoacidosis"	"E14.1"	16
	"Jan., 2006"	"2006/01"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	33
	"Jan., 2006"	"2006/01"	"Unspecified diabetes mellitus, without complications"	"E14.9"	326
	"Jan., 2006"	"2006/01"	"Unspecified protein-energy malnutrition"	"E46"	23
	"Jan., 2006"	"2006/01"	"Other obesity"	"E66.8"	30
	"Jan., 2006"	"2006/01"	"Hyperlipidaemia, unspecified"	"E78.5"	36
	"Jan., 2006"	"2006/01"	"Volume depletion"	"E86"	18
	"Jan., 2006"	"2006/01"	"Multi-infarct dementia"	"F01.1"	13
	"Jan., 2006"	"2006/01"	"Vascular dementia, unspecified"	"F01.9"	66
	"Jan., 2006"	"2006/01"	"Unspecified dementia"	"F03"	441
	"Jan., 2006"	"2006/01"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	23
	"Jan., 2006"	"2006/01"	"Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder"	"F17.9"	10
	"Jan., 2006"	"2006/01"	"Motor neuron disease"	"G12.2"	26
	"Jan., 2006"	"2006/01"	"Parkinson disease"	"G20"	127
	"Jan., 2006"	"2006/01"	"Alzheimer disease, unspecified"	"G30.9"	468
	"Jan., 2006"	"2006/01"	"Multiple sclerosis"	"G35"	17
	"Jan., 2006"	"2006/01"	"Anoxic brain damage, not elsewhere classified"	"G93.1"	45
	"Jan., 2006"	"2006/01"	"Essential (primary) hypertension"	"I10"	55
	"Jan., 2006"	"2006/01"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	61
	"Jan., 2006"	"2006/01"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	120
	"Jan., 2006"	"2006/01"	"Hypertensive renal disease with renal failure"	"I12.0"	83
	"Jan., 2006"	"2006/01"	"Hypertensive heart and renal disease with both (congestive) heart failure and renal failure"	"I13.2"	15
	"Jan., 2006"	"2006/01"	"Acute myocardial infarction, unspecified"	"I21.9"	1059
	"Jan., 2006"	"2006/01"	"Acute ischaemic heart disease, unspecified"	"I24.9"	15
	"Jan., 2006"	"2006/01"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	373
	"Jan., 2006"	"2006/01"	"Atherosclerotic heart disease"	"I25.1"	1025
	"Jan., 2006"	"2006/01"	"Ischaemic cardiomyopathy"	"I25.5"	55
	"Jan., 2006"	"2006/01"	"Other forms of chronic ischaemic heart disease"	"I25.8"	16
	"Jan., 2006"	"2006/01"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	88
	"Jan., 2006"	"2006/01"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	51
	"Jan., 2006"	"2006/01"	"Other secondary pulmonary hypertension"	"I27.2"	21
	"Jan., 2006"	"2006/01"	"Aortic (valve) stenosis"	"I35.0"	49
