"Notes"	"Month"	"Month Code"	"Cause of death"	"Cause of death Code"	Deaths
	"Jan., 1999"	"1999/01"	"Septicaemia, unspecified"	"A41.9"	166
	"Jan., 1999"	"1999/01"	"Acute hepatitis C"	"B17.1"	23
	"Jan., 1999"	"1999/01"	"HIV disease resulting in multiple infections"	"B20.7"	14
	"Jan., 1999"	"1999/01"	"HIV disease resulting in other infectious and parasitic diseases"	"B20.8"	10
	"Jan., 1999"	"1999/01"	"HIV disease resulting in other specified conditions"	"B23.8"	13
	"Jan., 1999"	"1999/01"	"Tongue, unspecified - Malignant neoplasms"	"C02.9"	12
	"Jan., 1999"	"1999/01"	"Pharynx, unspecified - Malignant neoplasms"	"C14.0"	13
	"Jan., 1999"	"1999/01"	"Oesophagus, unspecified - Malignant neoplasms"	"C15.9"	60
	"Jan., 1999"	"1999/01"	"Stomach, unspecified - Malignant neoplasms"	"C16.9"	65
	"Jan., 1999"	"1999/01"	"Colon, unspecified - Malignant neoplasms"	"C18.9"	226
	"Jan., 1999"	"1999/01"	"Malignant neoplasm of rectosigmoid junction"	"C19"	13
	"Jan., 1999"	"1999/01"	"Malignant neoplasm of rectum"	"C20"	29
	"Jan., 1999"	"1999/01"	"Liver cell carcinoma - Malignant neoplasms"	"C22.0"	28
	"Jan., 1999"	"1999/01"	"Intrahepatic bile duct carcinoma - Malignant neoplasms"	"C22.1"	17
	"Jan., 1999"	"1999/01"	"Liver, unspecified - Malignant neoplasms"	"C22.9"	43
	"Jan., 1999"	"1999/01"	"Pancreas, unspecified - Malignant neoplasms"	"C25.9"	147
	"Jan., 1999"	"1999/01"	"Larynx, unspecified - Malignant neoplasms"	"C32.9"	24
	"Jan., 1999"	"1999/01"	"Bronchus or lung, unspecified - Malignant neoplasms"	"C34.9"	844
	"Jan., 1999"	"1999/01"	"Malignant melanoma of skin, unspecified - Malignant neoplasms"	"C43.9"	35
	"Jan., 1999"	"1999/01"	"Connective and soft tissue, unspecified - Malignant neoplasms"	"C49.9"	20
	"Jan., 1999"	"1999/01"	"Breast, unspecified - Malignant neoplasms"	"C50.9"	208
	"Jan., 1999"	"1999/01"	"Cervix uteri, unspecified - Malignant neoplasms"	"C53.9"	23
	"Jan., 1999"	"1999/01"	"Endometrium - Malignant neoplasms"	"C54.1"	15
	"Jan., 1999"	"1999/01"	"Malignant neoplasm of uterus, part unspecified"	"C55"	21
	"Jan., 1999"	"1999/01"	"Malignant neoplasm of ovary"	"C56"	55
	"Jan., 1999"	"1999/01"	"Malignant neoplasm of prostate"	"C61"	150
	"Jan., 1999"	"1999/01"	"Malignant neoplasm of kidney, except renal pelvis"	"C64"	47
	"Jan., 1999"	"1999/01"	"Bladder, unspecified - Malignant neoplasms"	"C67.9"	60
	"Jan., 1999"	"1999/01"	"Brain, unspecified - Malignant neoplasms"	"C71.9"	67
	"Jan., 1999"	"1999/01"	"Head, face and neck - Malignant neoplasms"	"C76.0"	19
	"Jan., 1999"	"1999/01"	"Secondary malignant neoplasm of other specified sites - Malignant neoplasms"	"C79.8"	10
	"Jan., 1999"	"1999/01"	"Malignant neoplasm without specification of site"	"C80"	128
	"Jan., 1999"	"1999/01"	"Hodgkin disease, unspecified"	"C81.9"	11
	"Jan., 1999"	"1999/01"	"Non-Hodgkin lymphoma, unspecified type"	"C85.9"	82
	"Jan., 1999"	"1999/01"	"Multiple myeloma - Malignant neoplasms"	"C90.0"	62
	"Jan., 1999"	"1999/01"	"Chronic lymphocytic leukaemia - Malignant neoplasms"	"C91.1"	13
	"Jan., 1999"	"1999/01"	"Acute myeloid leukaemia - Malignant neoplasms"	"C92.0"	33
	"Jan., 1999"	"1999/01"	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	12
	"Jan., 1999"	"1999/01"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	16
	"Jan., 1999"	"1999/01"	"Malignant neoplasms of independent (primary) multiple sites"	"C97"	27
	"Jan., 1999"	"1999/01"	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	11
	"Jan., 1999"	"1999/01"	"Myelodysplastic syndrome, unspecified - Uncertain neoplasms"	"D46.9"	15
	"Jan., 1999"	"1999/01"	"Anaemia, unspecified"	"D64.9"	14
	"Jan., 1999"	"1999/01"	"Hypothyroidism, unspecified"	"E03.9"	15
	"Jan., 1999"	"1999/01"	"Insulin-dependent diabetes mellitus, without complications"	"E10.9"	39
	"Jan., 1999"	"1999/01"	"Non-insulin-dependent diabetes mellitus, with peripheral circulatory complications"	"E11.5"	11
	"Jan., 1999"	"1999/01"	"Non-insulin-dependent diabetes mellitus, without complications"	"E11.9"	64
	"Jan., 1999"	"1999/01"	"Unspecified diabetes mellitus, with peripheral circulatory complications"	"E14.5"	37
	"Jan., 1999"	"1999/01"	"Unspecified diabetes mellitus, without complications"	"E14.9"	275
	"Jan., 1999"	"1999/01"	"Unspecified protein-energy malnutrition"	"E46"	33
	"Jan., 1999"	"1999/01"	"Pure hypercholesterolaemia"	"E78.0"	11
	"Jan., 1999"	"1999/01"	"Hyperlipidaemia, unspecified"	"E78.5"	13
	"Jan., 1999"	"1999/01"	"Volume depletion"	"E86"	23
	"Jan., 1999"	"1999/01"	"Unspecified dementia"	"F03"	161
	"Jan., 1999"	"1999/01"	"Unspecified mental disorder due to brain damage and dysfunction and to physical disease"	"F06.9"	16
	"Jan., 1999"	"1999/01"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	12
	"Jan., 1999"	"1999/01"	"Motor neuron disease"	"G12.2"	36
	"Jan., 1999"	"1999/01"	"Parkinson disease"	"G20"	89
	"Jan., 1999"	"1999/01"	"Alzheimer disease, unspecified"	"G30.9"	261
	"Jan., 1999"	"1999/01"	"Multiple sclerosis"	"G35"	15
	"Jan., 1999"	"1999/01"	"Anoxic brain damage, not elsewhere classified"	"G93.1"	26
	"Jan., 1999"	"1999/01"	"Mitral valve disease, unspecified"	"I05.9"	12
	"Jan., 1999"	"1999/01"	"Essential (primary) hypertension"	"I10"	61
	"Jan., 1999"	"1999/01"	"Hypertensive heart disease with (congestive) heart failure"	"I11.0"	54
	"Jan., 1999"	"1999/01"	"Hypertensive heart disease without (congestive) heart failure"	"I11.9"	78
	"Jan., 1999"	"1999/01"	"Hypertensive renal disease with renal failure"	"I12.0"	58
	"Jan., 1999"	"1999/01"	"Hypertensive heart and renal disease with both (congestive) heart failure and renal failure"	"I13.2"	11
	"Jan., 1999"	"1999/01"	"Acute myocardial infarction, unspecified"	"I21.9"	1459
	"Jan., 1999"	"1999/01"	"Atherosclerotic cardiovascular disease, so described"	"I25.0"	448
	"Jan., 1999"	"1999/01"	"Atherosclerotic heart disease"	"I25.1"	1078
	"Jan., 1999"	"1999/01"	"Ischaemic cardiomyopathy"	"I25.5"	61
	"Jan., 1999"	"1999/01"	"Other forms of chronic ischaemic heart disease"	"I25.8"	11
	"Jan., 1999"	"1999/01"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	118
	"Jan., 1999"	"1999/01"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	64
	"Jan., 1999"	"1999/01"	"Primary pulmonary hypertension"	"I27.0"	10
	"Jan., 1999"	"1999/01"	"Mitral (valve) insufficiency"	"I34.0"	10
	"Jan., 1999"	"1999/01"	"Aortic (valve) stenosis"	"I35.0"	37
	"Jan., 1999"	"1999/01"	"Endocarditis, valve unspecified"	"I38"	17
	"Jan., 1999"	"1999/01"	"Dilated cardiomyopathy"	"I42.0"	35
	"Jan., 1999"	"1999/01"	"Cardiomyopathy, unspecified"	"I42.9"	106
	"Jan., 1999"	"1999/01"	"Cardiac arrest, unspecified"	"I46.9"	90
	"Jan., 1999"	"1999/01"	"Atrial fibrillation and flutter"	"I48"	42
	"Jan., 1999"	"1999/01"	"Cardiac arrhythmia, unspecified"	"I49.9"	24
	"Jan., 1999"	"1999/01"	"Congestive heart failure"	"I50.0"	310
	"Jan., 1999"	"1999/01"	"Heart failure, unspecified"	"I50.9"	15
	"Jan., 1999"	"1999/01"	"Cardiovascular disease, unspecified"	"I51.6"	43
	"Jan., 1999"	"1999/01"	"Cardiomegaly"	"I51.7"	17
	"Jan., 1999"	"1999/01"	"Heart disease, unspecified"	"I51.9"	17
	"Jan., 1999"	"1999/01"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	32
	"Jan., 1999"	"1999/01"	"Intracerebral haemorrhage, unspecified"	"I61.9"	88
	"Jan., 1999"	"1999/01"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	22
	"Jan., 1999"	"1999/01"	"Cerebral infarction, unspecified"	"I63.9"	59
	"Jan., 1999"	"1999/01"	"Stroke, not specified as haemorrhage or infarction"	"I64"	517
	"Jan., 1999"	"1999/01"	"Cerebral atherosclerosis"	"I67.2"	10
	"Jan., 1999"	"1999/01"	"Cerebrovascular disease, unspecified"	"I67.9"	28
	"Jan., 1999"	"1999/01"	"Sequelae of cerebral infarction"	"I69.3"	16
	"Jan., 1999"	"1999/01"	"Sequelae of stroke, not specified as haemorrhage or infarction"	"I69.4"	64
	"Jan., 1999"	"1999/01"	"Sequelae of other and unspecified cerebrovascular diseases"	"I69.8"	74
	"Jan., 1999"	"1999/01"	"Generalized and unspecified atherosclerosis"	"I70.9"	65
	"Jan., 1999"	"1999/01"	"Dissection of aorta [any part]"	"I71.0"	12
	"Jan., 1999"	"1999/01"	"Abdominal aortic aneurysm, ruptured"	"I71.3"	32
	"Jan., 1999"	"1999/01"	"Peripheral vascular disease, unspecified"	"I73.9"	41
	"Jan., 1999"	"1999/01"	"Pneumonia due to staphylococcus"	"J15.2"	12
	"Jan., 1999"	"1999/01"	"Bacterial pneumonia, unspecified"	"J15.9"	16
	"Jan., 1999"	"1999/01"	"Bronchopneumonia, unspecified"	"J18.0"	22
	"Jan., 1999"	"1999/01"	"Lobar pneumonia, unspecified"	"J18.1"	14
	"Jan., 1999"	"1999/01"	"Pneumonia, unspecified"	"J18.9"	337
	"Jan., 1999"	"1999/01"	"Emphysema, unspecified"	"J43.9"	135
	"Jan., 1999"	"1999/01"	"Other specified chronic obstructive pulmonary disease"	"J44.8"	26
	"Jan., 1999"	"1999/01"	"Chronic obstructive pulmonary disease, unspecified"	"J44.9"	577
	"Jan., 1999"	"1999/01"	"Asthma, unspecified"	"J45.9"	16
	"Jan., 1999"	"1999/01"	"Bronchiectasis"	"J47"	10
	"Jan., 1999"	"1999/01"	"Pneumonitis due to food and vomit"	"J69.0"	106
	"Jan., 1999"	"1999/01"	"Adult respiratory distress syndrome"	"J80"	10
	"Jan., 1999"	"1999/01"	"Other interstitial pulmonary diseases with fibrosis"	"J84.1"	62
	"Jan., 1999"	"1999/01"	"Interstitial pulmonary disease, unspecified"	"J84.9"	11
	"Jan., 1999"	"1999/01"	"Respiratory failure, unspecified"	"J96.9"	15
	"Jan., 1999"	"1999/01"	"Other disorders of lung"	"J98.4"	16
	"Jan., 1999"	"1999/01"	"Peptic ulcer, site unspecified, chronic or unspecified with haemorrhage"	"K27.4"	10
	"Jan., 1999"	"1999/01"	"Noninfective gastroenteritis and colitis, unspecified"	"K52.9"	10
	"Jan., 1999"	"1999/01"	"Acute vascular disorders of intestine"	"K55.0"	37
	"Jan., 1999"	"1999/01"	"Vascular disorder of intestine, unspecified"	"K55.9"	31
	"Jan., 1999"	"1999/01"	"Other and unspecified intestinal obstruction"	"K56.6"	20
	"Jan., 1999"	"1999/01"	"Perforation of intestine (nontraumatic)"	"K63.1"	13
	"Jan., 1999"	"1999/01"	"Alcoholic cirrhosis of liver"	"K70.3"	48
	"Jan., 1999"	"1999/01"	"Alcoholic liver disease, unspecified"	"K70.9"	14
	"Jan., 1999"	"1999/01"	"Hepatic failure, unspecified"	"K72.9"	25
	"Jan., 1999"	"1999/01"	"Other and unspecified cirrhosis of liver"	"K74.6"	95
	"Jan., 1999"	"1999/01"	"Liver disease, unspecified"	"K76.9"	12
	"Jan., 1999"	"1999/01"	"Acute pancreatitis"	"K85"	10
	"Jan., 1999"	"1999/01"	"Gastrointestinal haemorrhage, unspecified"	"K92.2"	25
	"Jan., 1999"	"1999/01"	"Decubitus ulcer"	"L89"	21
	"Jan., 1999"	"1999/01"	"Rheumatoid arthritis, unspecified"	"M06.9"	13
	"Jan., 1999"	"1999/01"	"Acute renal failure, unspecified"	"N17.9"	15
	"Jan., 1999"	"1999/01"	"End-stage renal disease"	"N18.0"	27
	"Jan., 1999"	"1999/01"	"Chronic renal failure, unspecified"	"N18.9"	25
	"Jan., 1999"	"1999/01"	"Unspecified renal failure"	"N19"	69
	"Jan., 1999"	"1999/01"	"Urinary tract infection, site not specified"	"N39.0"	104
